Pe,T,kappa,H_free,lp_free,lp_free_error,lp_free_R2,lp_free_individual,lp_free_individual_std,tau_decorr_free,tau_decorr_free_error,D_long,D_long_error,D_long_R2,D_long_n_points,H_conf,lp_conf,lp_conf_error,lp_conf_R2,lp_conf_individual,ttrap,ttrap_std,tau_decorr_cavity,transloc_rate_per_hour,transloc_success_rate,transloc_n_success,transloc_n_attempts,transloc_total_events,N_rot,tau_eff,tau_star,tau_geom,tau_0,tau_rot,D_r,mobility
0.15,0.06,0.4,5.990474,0.134265,0.0125,0.98643,0.195883,0.153391,51.709953,0.5,0.301506,3e-05,0.999998,201.0,1.971823,0.121944,0.0125,0.964369,,1.516667,0.0,5.155,43.438914,92.307692,24.0,2.0,26.0,0.971,0.63,0.63,0.63,0.25,0.65,1.5332,1.5873015873015872
0.15,0.08,0.15,,,,,,,,,,,,,4.630523,0.093607,0.0125,0.962871,,1.545833,0.326138,11.113,,,,,,1.52,0.35,2.12,2.22,0.73,0.23,4.3416,2.857142857142857
0.15,0.08,0.25,5.69567,0.091828,0.0125,0.989064,0.109833,0.072438,43.576067,0.5,0.135071,0.000181,0.999644,201.0,4.709433,0.149844,0.0125,0.872909,,1.455555,0.598455,17.193,9.458367,20.967742,13.0,49.0,62.0,3.606,0.7,2.92,2.92,0.53,0.19,5.152,1.4285714285714286
0.15,0.08,0.4,5.990474,0.134265,0.0125,0.98643,0.195883,0.153391,51.709953,0.5,0.301506,3e-05,0.999998,201.0,4.366145,0.121944,0.0125,0.964369,,1.516667,0.0,5.155,43.438914,92.307692,24.0,2.0,26.0,3.452,0.28,0.47,0.47,0.48,0.08,12.185,3.571428571428571
0.15,0.1,0.15,,,,,,,,,,,,,4.367945,0.069229,0.0125,0.981302,,1.545833,0.326138,11.113,,,,,,2.357,0.67,1.25,1.25,1.27,0.28,3.5351,1.4925373134328357
0.15,0.1,0.25,5.69567,0.091828,0.0125,0.989064,0.109833,0.072438,43.576067,0.5,0.135071,0.000181,0.999644,201.0,4.478053,0.149844,0.0125,0.872909,,1.455555,0.598455,17.193,9.458367,20.967742,13.0,49.0,62.0,5.713,0.68,0.73,0.73,0.75,0.12,8.3609,1.4705882352941175
0.15,0.1,0.4,5.990474,0.134265,0.0125,0.98643,0.195883,0.153391,51.709953,0.5,0.301506,3e-05,0.999998,201.0,4.972633,0.092514,0.0125,0.972283,,1.516667,0.0,5.155,43.438914,92.307692,24.0,2.0,26.0,2.313,0.2,0.32,0.37,0.48,0.09,11.564,5.0
0.15,0.15,0.15,,,,,,,,,,,,,4.685569,0.069229,0.0125,0.981302,,1.545833,0.326138,13.663,,,,,,1.845,0.33,2.22,2.32,0.52,0.18,5.5346,3.0303030303030303
0.15,0.15,0.25,5.69567,0.091828,0.0125,0.989064,0.109833,0.072438,43.576067,0.5,0.135071,0.000181,0.999644,201.0,4.555957,0.097353,0.0125,0.987296,,1.455555,0.598455,17.193,6.378738,17.021277,8.0,39.0,47.0,1.592,0.42,3.07,3.07,0.42,0.26,3.8211,2.380952380952381
0.15,0.15,0.4,5.990474,0.134265,0.0125,0.98643,0.195883,0.153391,51.709953,0.5,0.301506,3e-05,0.999998,201.0,4.645307,0.092514,0.0125,0.972283,,1.516667,0.0,17.95,43.438914,92.307692,24.0,2.0,26.0,2.958,0.28,2.82,2.82,0.45,0.1,10.439,3.571428571428571
0.15,0.2,0.15,,,,,,,,,,,,,4.29352,0.071852,0.0125,0.98363,,2.041666,1.402428,12.114,,,,,,2.316,0.58,2.08,2.08,0.65,0.25,3.9704,1.7241379310344829
0.15,0.2,0.25,,,,,,,,,,,,,3.806729,0.089493,0.0125,0.902765,,1.596667,0.984984,7.186,,,,,,1.492,0.83,0.83,0.83,0.43,0.56,1.7905,1.2048192771084338
0.15,0.2,0.35,,,,,,,,,,,,,4.918192,0.113254,0.0125,0.980883,,1.5625,0.783599,14.846,,,,,,1.486,0.28,0.58,3.65,0.63,0.19,5.2438,3.571428571428571
0.15,0.2,0.4,,,,,,,,,,,,,2.180946,0.076713,0.0125,0.987189,,3.583333,0.0,17.412,,,,,,,,,,,,,
0.15,0.2,0.5,,,,,,,,,,,,,4.897802,0.101035,0.0125,0.988675,,2.541666,0.129636,13.264,,,,,,1.42,0.23,0.35,4.03,0.43,0.16,6.0852,4.3478260869565215
0.15,0.2,0.65,,,,,,,,,,,,,4.777144,0.111075,0.0125,0.976819,,1.44375,0.632138,12.192,,,,,,3.168,0.23,2.77,2.77,0.35,0.07,13.578,4.3478260869565215
0.15,0.3,0.15,,,,,,,,,,,,,4.593147,0.061808,0.0125,0.963225,,1.238889,1.069051,12.257,,,,,,2.14,0.27,0.7,0.7,0.5,0.12,8.0268,3.7037037037037033
0.15,0.3,0.25,,,,,,,,,,,,,4.337503,0.069092,0.0125,0.972537,,0.95,0.0,9.88,,,,,,2.225,0.28,0.58,0.58,0.55,0.13,7.8525,3.571428571428571
0.15,0.3,0.35,,,,,,,,,,,,,4.612807,0.077268,0.0125,0.983009,,2.255556,0.591216,9.56,,,,,,2.148,0.28,0.95,3.55,0.62,0.13,7.5797,3.571428571428571
0.15,0.3,0.4,,,,,,,,,,,,,4.679048,0.07373,0.0125,0.986931,,1.37,0.948053,17.303,,,,,,2.679,0.3,0.98,1.15,0.72,0.11,8.9293,3.3333333333333335
0.15,0.3,0.5,,,,,,,,,,,,,4.801295,0.091589,0.0125,0.990676,,2.0,0.353029,11.976,,,,,,1.652,0.27,1.75,1.83,0.7,0.16,6.1958,3.7037037037037033
0.15,0.3,0.65,,,,,,,,,,,,,4.617862,0.102453,0.0125,0.986189,,2.803333,1.567172,11.574,,,,,,1.338,0.3,3.22,3.22,0.67,0.22,4.46,3.3333333333333335
0.17,0.1,0.77,4.711792,0.232126,0.0125,0.995828,0.323711,0.214466,38.805257,0.5,1.924257,0.00063,0.999979,201.0,4.929709,,,,,3.023568,4.059584,9.426,87.884268,97.2,243.0,7.0,250.0,,,,,,,,
0.2,0.02,0.15,4.869914,0.070928,0.0125,0.972297,0.073077,0.019922,18.140974,0.5,0.125151,0.000395,0.998023,201.0,3.847048,0.101382,0.0125,0.983887,,4.047799,5.776432,9.473,12.269447,16.666667,17.0,85.0,102.0,0.5,0.17,0.25,0.3,0.35,0.33,2.9984,5.88235294117647
0.2,0.02,0.25,5.160929,0.081365,0.0125,0.961269,0.091392,0.052917,19.922051,0.5,0.469844,0.00231,0.995211,201.0,0.69549,0.074497,0.0125,0.892944,,10.43718,20.903444,9.727,11.738333,66.666667,16.0,8.0,24.0,0.568,0.15,0.22,0.23,0.35,0.26,3.7893,6.666666666666667
0.2,0.02,0.35,,,,,,,,,,,,,0.143276,0.068138,0.0125,0.898277,,4.226515,8.565382,3.514,54.602119,69.52381,73.0,32.0,105.0,1181.42,33.33,33.33,33.33,0.17,0.03,35.443,0.03000300030003
0.2,0.02,0.4,5.514397,0.120066,0.0125,0.891587,0.190183,0.170531,23.838207,0.5,0.926511,0.000438,0.999956,201.0,0.208218,0.068373,0.0125,0.896569,,2.240525,2.436865,6.78,46.517262,98.461538,64.0,1.0,65.0,954.22,33.1,33.1,33.1,0.17,0.03,28.828,0.0302114803625377
0.2,0.02,0.5,,,,,,,,,,,,,0.439006,0.076861,0.0125,0.892215,,11.289333,19.564323,3.532,98.00363,92.465753,135.0,11.0,146.0,1680.075,33.22,33.22,33.22,0.17,0.02,50.579,0.0301023479831426
